,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
35,Strings Attached (Hung Lightly from the Wrist),Dead Stellar Engine,1Hx7U9xIEnLH0fmt2T9Yzz,2018-12-15,0.329,0.594,-10.611,0.0486,0.0286,0.123,0.273,140.484,-12.998709523052558
36,Chun Swae (feat. Swae Lee),Nicki Minaj,03It1uO69CjGWP3yyVe465,2018-08-10,0.851,0.421,-8.022,0.0644,0.0654,0.136,0.21,140.992,-13.024933452348419
37,Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,2020-07-22,0.789,0.711,-4.248,0.041,0.0332,0.0876,0.753,112.985,-13.275578564765832
38,Easy (with Kacey Musgraves feat. Mark Ronson),Troye Sivan,4XWaUb7mKRcJR5RPp4IIDr,2020-12-10,0.581,0.674,-7.09,0.033,0.00187,0.128,0.488,143.005,-14.980354217040931
39,This Could Be Us,Rae Sremmurd,4jTiyLlOJVJj3mCr7yfPQD,2015-01-06,0.732,0.69,-4.992,0.134,0.291,0.116,0.758,143.072,-15.142325346950628
40,Say So (feat. Nicki Minaj),Doja Cat,11VApNQCWLJdzxWrlmwzUa,2020-05-01,0.856,0.641,-4.64,0.204,0.119,0.427,0.745,111.004,-15.172998771001005
41,Hopelessly Devoted To You (Glee Cast Version),Glee Cast,5uffB0o1ruF4O5o3KOelvu,2012-11-06,0.61,0.53,-7.132,0.0253,0.247,0.35,0.305,110.778,-15.261337823586384
42,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,0.585,0.436,-8.761,0.0601,0.721,0.105,0.132,143.874,-15.975197657429401
43,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,13v5IXnvO2BccWwOx5rb4s,2020-09-25,0.808,0.676,-4.902,0.223,0.0618,0.11,0.0763,144.018,-16.099831556854713
44,positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,2020-10-30,0.737,0.802,-4.771,0.0878,0.468,0.0931,0.682,144.015,-16.106107333955197
45,Diva (feat. Lil Tecca),The Kid LAROI,7gVwgc8b3XnO87TpmXXFA5,2020-01-31,0.686,0.703,-6.141,0.0606,0.00728,0.0946,0.457,144.902,-16.885103965445676
46,Big Gangsta,Kevin Gates,2HYvkdq6lpFXkVz9Tfqi8r,2019-05-31,0.879,0.574,-5.602,0.391,0.519,0.144,0.346,144.911,-16.925872325965095
47,Best Friend,Rex Orange County,47Bg6IrMed1GPbxRgwH2aC,2017-01-25,0.575,0.714,-5.247,0.0596,0.395,0.115,0.32,144.982,-17.020907914941482
48,Back In Blood (feat. Lil Durk),Pooh Shiesty,7JuHVG3qQKQKxC4doneXVW,2020-11-06,0.759,0.538,-8.256,0.384,0.151,0.126,0.831,146.933,-18.96031925112415
49,Tempo (feat. Missy Elliott),Lizzo,6nBQFAIVFmAx2oZ8p6lUg6,2019-04-19,0.833,0.722,-5.563,0.136,0.0573,0.358,0.588,107.019,-19.05061088627477
50,Take Me Higher,Robin Thicke,4ORp5huJChm7E6QZpA1482,2021-01-20,0.805,0.393,-8.164,0.0326,0.238,0.112,0.627,107.01,-19.070629605440892
51,Blijven Slapen,Snelle,7BRKEcW05hOZMJ3bKOOzQl,2021-03-12,0.751,0.549,-7.798,0.106,0.221,0.112,0.735,106.01,-20.046094310508124
52,Leave The Door Open,Bruno Mars,7MAibcTli4IisCtbHKrGMh,2021-03-05,0.586,0.616,-7.964,0.0324,0.182,0.0927,0.719,148.088,-20.092042244429518
53,Finesse - Remix; feat. Cardi B,Bruno Mars,3Vo4wInECJQuz9BIBMOu8i,2017-12-20,0.704,0.859,-4.877,0.0996,0.0185,0.0215,0.926,105.115,-21.003338538021904
54,Rake It Up (feat. Nicki Minaj),Yo Gotti,4knL4iPxPOZjQzTUlELGSY,2017-10-27,0.91,0.444,-8.126,0.344,0.022,0.137,0.53,149.953,-21.965145943511864
55,Onna Come Up (feat. G Herbo) [Remix],Lil Eazzyy,6bCWyr3C3ngZdwizTYWQTG,2021-01-15,0.679,0.794,-3.985,0.296,0.339,0.113,0.698,150.067,-22.207271794995624
56,VALENTINO,24kGoldn,6piAUJJQFD8oHDUr0b7l7q,2019-11-22,0.746,0.717,-4.841,0.179,0.199,0.132,0.523,150.964,-23.012250632683326
57,JOKER,Dax,0ww7SLn0UtlR9mzwFHGFuE,2020-05-07,0.762,0.703,-7.951,0.306,0.206,0.0912,0.519,151.329,-23.327182846823785
58,What We Doin',City Girls,11TOnapSFVWBUSByMzf1u1,2018-11-16,0.952,0.606,-5.032,0.0814,0.186,0.327,0.305,100.434,-25.65713458147375
59,Acid Dreams,MAX,3XEdqQtGHAM5huMrs3RaKN,2019-07-19,0.817,0.509,-4.17,0.0839,0.146,0.111,0.77,99.988,-26.17002521465153
60,Pussy Talk,City Girls,5EzL7hGT9g2Tvqsy158Lu9,2020-06-20,0.943,0.641,-5.598,0.191,0.0016,0.211,0.242,99.099,-26.960455296700722
61,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,6fRxMU4LWwyaSSowV441IU,2021-03-03,0.713,0.676,-5.483,0.027,0.0377,0.154,0.721,99.048,-27.014003859512812
62,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,5N1o6d8zGcSZSeMFkOUQOk,2019-08-09,0.872,0.814,-4.568,0.155,0.00485,0.214,0.57,98.985,-27.13448847093726
63,Fck Boys,Blxst,3AO2MYgrCiTorCUura1szR,2021-03-12,0.63,0.491,-5.549,0.41,0.766,0.101,0.497,98.368,-27.69652370108272
64,Everything Black,Unlike Pluto,3UEnF6y5tyHVtMzldS3svp,2017-03-10,0.62,0.864,-4.334,0.114,0.0323,0.117,0.395,98.059,-28.077111950687268
65,La La Land (feat. YG),Bryce Vine,4oM9DGUTrRaXJDypxxHztZ,2019-07-26,0.774,0.473,-5.122,0.0569,0.221,0.222,0.416,97.953,-28.12636025672965
66,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,2fTdRdN73RgIgcUZN33dvt,2020-10-09,0.737,0.867,-2.259,0.0458,0.0398,0.32,0.506,98.05,-28.33351469154013
67,Girls Need Love (with Drake) - Remix,Summer Walker,14SaZBTjxlorHJQxXh01Hu,2018-10-19,0.656,0.432,-9.481,0.217,0.443,0.132,0.0897,97.022,-29.135620174418182
68,Тлеет,Bula,0F7pTAMyTJFdvveeQ1GfVL,2020-10-20,0.817,0.453,-6.907,0.204,0.067,0.0856,0.442,158.057,-30.02832303130152
69,Potential Breakup Song,Aly & AJ,2ieu0FHqTpBUrMoCFVL3cb,2020-12-29,0.554,0.899,-4.149,0.0385,0.000469,0.0867,0.556,157.995,-30.078741014861617
70,Truth Hurts,Lizzo,3HWzoMvoF3TQfYg4UPszDq,2019-04-19,0.715,0.624,-3.046,0.114,0.11,0.123,0.412,158.087,-30.281193772725423
71,Our First Song,Joseph Vincent,6J9tgHIE8qdy5ulg3c9SwG,2016-04-19,0.701,0.252,-10.844,0.0477,0.958,0.0938,0.723,158.087,-30.33285831463188
72,16 Shots,Stefflon Don,2169IKAivSUUFGcedGASXc,2017-05-22,0.684,0.79,-4.871,0.0735,0.0271,0.0854,0.549,95.083,-31.00584209157448
73,Street Runner,Rod Wave,45kgqMRkC29qjBlzeaJcad,2021-03-10,0.613,0.61,-8.633,0.246,0.211,0.152,0.433,160.004,-32.026017575947606
74,Pretty Girl Rock,Keri Hilson,2Adn2LNgkHMH5TelQVAu4n,2010-01-01,0.666,0.87,-5.004,0.246,0.203,0.0851,0.9,160.014,-32.03382663429722
75,Wolves (feat. Post Malone),Big Sean,33gwZOGJWEZ7dRWPqPxBEZ,2020-09-04,0.724,0.675,-5.267,0.0867,0.0978,0.351,0.325,160.048,-32.053988807960906
76,JETSKI (feat. Lil Mosey & Lil Tecca),Internet Money,2vl0D1b0M6UHlD1Fjh5j1m,2021-03-26,0.883,0.446,-8.723,0.296,0.0253,0.103,0.463,92.95,-33.137901799507276
77,Outta Time (feat. Drake),Bryson Tiller,4SCnCPOUOUXUmCX2uHb3r7,2020-10-02,0.714,0.582,-7.272,0.0808,0.0129,0.0774,0.338,92.819,-33.21688380307013
78,Disingenuous,Flight,77N3t8CNrUQV2f2SLQzs9Q,2020-04-20,0.777,0.752,-5.795,0.223,0.0897,0.111,0.451,92.015,-34.030263466905325
79,Floating (feat. Khalid) [filous Remix],Alina Baraz,3Vtl4Xc9cKVs1UoenXtScn,2019-02-08,0.757,0.614,-6.828,0.126,0.472,0.161,0.616,90.523,-35.508580297880705
80,Face To Face,Ruel,2QdVcmVPIxW826rRJDf58l,2019-09-13,0.711,0.634,-4.351,0.0668,0.139,0.103,0.356,90.04,-36.07142603438394
81,Alone With Me,Hopsin,0pdT2HQxxKGZdSoA6ORuVx,2021-03-22,0.665,0.724,-6.292,0.247,0.125,0.0701,0.639,89.377,-36.657326331868035
82,Come Over (Remix),Jorja Smith,5RBc2SUllAJG4gUZdXTBIj,2021-02-25,0.638,0.676,-5.944,0.22,0.402,0.171,0.688,88.903,-37.13762510758636
83,Spiral,21 Savage,2YMCSqTmBTtcYA8dyUCvbT,2021-04-30,0.814,0.659,-4.475,0.0811,0.00161,0.499,0.13,88.521,-37.583527977313075
