,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
303,Cariño,The Marías,55DyBUkjebkcYhDGfEXitR,2018-08-17,0.647,0.385,-13.717,0.0295,0.396,0.117,0.662,113.985,-8.660005766422433
304,Body Terror Song,AJJ,3D1PuFi2U8lmtdWRZcCz1f,2020-01-17,0.507,0.399,-10.917,0.0358,0.871,0.113,0.225,115.588,-8.680537299205884
305,Michelle,Sir Chloe,48rZVgAGm0OlbbxjikCpqm,2020-10-23,0.366,0.439,-5.238,0.0298,0.0781,0.108,0.11,115.94,-8.723737029461166
306,Girls In Bikinis,Poppy,5FXn5JHL50tDPMITGun9zh,2018-10-31,0.886,0.893,-2.713,0.0612,0.116,0.145,0.814,116.01,-9.683251063852923
307,Stay Behind,Mother Mother,4TI7DvxcJtnnRilNSAgdD2,2021-03-05,0.605,0.252,-14.45,0.0273,0.412,0.0945,0.267,97.946,-9.989210128544913
308,Nobody,Mitski,6bTn1ovliI0OkjUNkiMBJq,2018-08-17,0.398,0.716,-5.254,0.0392,0.0764,0.0848,0.494,117.295,-10.033082552782497
309,Hayloft,Mother Mother,2kS6td1yvmpNgZTt1q5pQq,2008-09-23,0.527,0.922,-2.666,0.0728,0.00475,0.422,0.49,95.975,-10.655524890317754
310,Comme Des Garçons (Like The Boys),Rina Sawayama,43bYs8QkPdCdy5esfnmU1T,2020-04-17,0.724,0.714,-3.776,0.116,0.0246,0.441,0.65,119.162,-12.211308165587305
311,My Time,bo en,0wZUJxxybEiafs0BIg9SAP,2013-09-06,0.445,0.361,-7.503,0.0941,0.608,0.112,0.0677,119.797,-12.288862292962257
312,Yandere,Jazmin Bean,6a9gDPGHaLfiM2XYrKXOVy,2020-10-30,0.524,0.622,-8.241,0.0508,0.0147,0.11,0.369,119.925,-12.424938795052835
313,Froot,MARINA,6fk13PEdduHc2HG6JX6imT,2015-03-16,0.614,0.812,-5.849,0.0416,0.263,0.102,0.726,120.019,-12.615423545425104
314,When the Sun Hits,Slowdive,0oxYB9GoOIDrdzniNdKC44,1993,0.33,0.532,-11.764,0.0263,0.00101,0.101,0.218,93.512,-12.67569012388391
315,Why Didn't You Stop Me?,Mitski,6yReUDu8b6PDNdLc0Z0djO,2018-08-17,0.607,0.86,-5.21,0.0437,0.000298,0.0745,0.556,120.038,-12.733318724325262
316,Jealous,Eyedress,5KbTBSGUvgDg75gIVhUaAW,2020-08-07,0.474,0.91,-10.431,0.0462,0.00498,0.476,0.745,93.01,-12.825597899532456
317,Steeeam,Shelly,09RamrocZneYcLYLRIxYha,2020-10-30,0.817,0.763,-11.014,0.0373,0.546,0.124,0.923,120.034,-12.95159325924156
318,SIU,Maretu,22tot0Y6uKuWdAZnEQyB6g,2019-11-25,0.679,0.908,-2.949,0.0379,0.0613,0.0711,0.658,119.978,-13.243304718769277
319,Choke,I DONT KNOW HOW BUT THEY FOUND ME,37mfTcSlX60JtAvAETytGs,2018-08-24,0.516,0.85,-3.909,0.0706,0.00139,0.296,0.583,120.324,-13.294338130446372
320,Poison Tree,Grouper / Inca Ore,6RDVwKLpBBEksWdp9jwBlD,2008-06-03,0.368,0.143,-22.593,0.0317,0.965,0.107,0.24,110.906,-14.655531452982174
321,All Men Are Pigs,Studio Killers,3k480WGdh2YXz5Tq94LKt1,2020-12-14,0.628,0.939,-4.323,0.0551,0.0942,0.388,0.453,122.984,-15.791855731303574
322,Sensitive,Serena Isioma,0oHEteATZnAZuA9dl1dXF3,2020-01-29,0.601,0.649,-6.979,0.133,0.166,0.165,0.351,89.73,-15.805623749129815
