,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
420,Everything Works Out in the End,Kodaline,45IFvFqHG8oiEK1fAYdNw1,2015-02-09,0.551,0.346,-11.287,0.0278,0.763,0.11,0.29,83.045,-22.772813558712716
421,Chanel,Rich,3MwDNtWYgZl2ObzQiRbeIt,2021-03-24,0.398,0.179,-9.299,0.0483,0.95,0.119,0.388,82.625,-22.97114252561435
422,A-O-K,Tai Verdes,1v3Ozpbcx2B926aVW0UuXk,2021-05-06,0.731,0.626,-6.919,0.0805,0.125,0.183,0.862,82.488,-23.04743826729402
423,Letting Someone Go,Zach Bryan,6Wxx1jXr6EyGdt8RuYFzvj,2019-08-24,0.543,0.117,-15.153,0.0389,0.811,0.147,0.395,83.607,-23.14020452148893
424,Already Gone,Sleeping At Last,5zCunX8URvLoBHlg1Fnjv6,2016-11-04,0.418,0.248,-9.997,0.0451,0.954,0.108,0.298,130.953,-23.561751698104054
425,Touch,Sleeping At Last,4g2WiijzSKzH8PApKDbadN,2019-11-01,0.415,0.104,-11.83,0.0426,0.955,0.104,0.18,82.006,-23.895392214972542
426,Caves,The Lumineers,2cphb6rybh6cHDiTqOI8cd,2021-04-28,0.553,0.203,-13.643,0.0359,0.933,0.0992,0.316,82.224,-24.051611509747566
427,Next to You,John Vincent III,3MwHZDGwAR8RjZZBriBqmx,2019-06-17,0.443,0.419,-7.975,0.0321,0.633,0.404,0.0719,132.204,-24.692867146765014
428,Forever,Labrinth,6potEImiklXkwD9qFzpu15,2019-10-04,0.563,0.459,-7.781,0.0292,0.92,0.11,0.197,79.983,-25.548858822279257
429,Lvr Boy,awfultune,6Py8QOQ4I1286xM9KncPQ4,2018-04-23,0.498,0.0283,-25.021,0.0427,0.949,0.251,0.0653,85.473,-26.346030516462818
430,Drew Barrymore,SZA,06u5LrUpbosQlQ1QJFhPpG,2017-06-09,0.577,0.523,-5.538,0.0429,0.491,0.147,0.29,134.93,-27.483552087113598
431,IDK You Yet,Alexander 23,0j1Ia2lQWrcXrQZI4AdJlk,2020-06-23,0.648,0.308,-11.729,0.04,0.886,0.124,0.198,76.997,-28.82154143429403
432,Ophelia,The Lumineers,3d8y0t70g7hw2FOWl9Z4Fm,2016-04-08,0.664,0.573,-6.519,0.0277,0.613,0.0857,0.566,76.023,-29.519694820710708
433,What You Heard,Sonder,3a3dQOO19moXPeTt2PomoT,2019-02-22,0.429,0.371,-9.017,0.0327,0.546,0.104,0.135,137.134,-29.649930993451118
434,State Lines,Novo Amor,7CoMBpPTwQi2wPT0U0Nr9b,2018-10-19,0.509,0.31,-10.623,0.0313,0.959,0.0963,0.151,137.474,-30.110309432169224
435,Feel Something,Jaymes Young,0vMI3AJPQMjytAu8XMWr65,2017-06-23,0.61,0.59,-7.325,0.0362,0.694,0.15,0.352,137.838,-30.320139097987944
436,Dead and Cold,SadBoyProlific,1A43TfohQt3H6K5zg28ExD,2018-11-10,0.793,0.441,-10.297,0.579,0.867,0.111,0.753,74.746,-30.901778395338976
437,Fill My Void,Sky McCreery,39hIclpz8P4aRSBuqwcUhX,2019-01-21,0.713,0.228,-17.247,0.0349,0.814,0.106,0.212,75.018,-31.95740773397258
438,Berlin,RY X,7BSMSvK0WxrDeI98bswYa8,2016-05-06,0.393,0.0668,-20.755,0.0404,0.963,0.107,0.0384,136.938,-32.157311546404294
439,Put Me in the Ground (feat. Austin Sawyer),Daniel Nunnelee,3tzlgaWjqZJX0fq2hiQW62,2017-09-29,0.57,0.368,-9.128,0.0329,0.0514,0.108,0.136,139.937,-32.45388224799201
440,Tired,beabadoobee,6F5mZpEEjhsAW8UEqbIpz1,2018-12-07,0.63,0.418,-7.111,0.0254,0.483,0.111,0.345,140.037,-32.519409287535396
441,July,Noah Cyrus,6J2LdBN97cDWn0MLxYh9HB,2020-05-15,0.708,0.186,-8.953,0.042,0.868,0.0779,0.322,72.541,-33.014829865564764
442,Home,Danny Knutelsky,1Xy1QT5ZM1a2ta6rUGxBii,2020-07-19,0.5,0.234,-14.915,0.0294,0.852,0.096,0.166,139.797,-33.079615534176945
443,July (feat. Leon Bridges),Noah Cyrus,3V0nnQhqvbE3JmiDdnzQFQ,2019-11-08,0.708,0.211,-9.603,0.0424,0.853,0.131,0.362,72.5,-33.087289776474066
444,Vas,jagger finn,6S7o12almFeL57rbRvdY5l,2019-08-28,0.514,0.424,-10.645,0.0282,0.918,0.126,0.416,71.114,-34.5456762021672
445,Hearing,Sleeping At Last,13Z3uZXTFpbLBZ8R1rTUKO,2019-11-01,0.207,0.292,-11.641,0.0328,0.818,0.0934,0.11,141.869,-34.58853185841352
446,Wein,makko,06Mfzb2KecNGKlKojn1mtq,2020-03-01,0.649,0.326,-13.537,0.298,0.413,0.0922,0.134,71.009,-35.01097787943721
447,Repeat Until Death,Novo Amor,5PzWVmfzu7rePAuFkxPQf0,2018-10-19,0.233,0.15,-11.736,0.0336,0.982,0.154,0.0875,143.887,-36.60729958110943
448,Your Guilty Pleasure,Henry Verus,1FlH4OcYNclGCb2nIvKmld,2021-01-22,0.513,0.0999,-18.501,0.169,0.888,0.118,0.269,142.674,-36.77092869950797
449,All I Need,Verzache,51V7IK66jWw2AB3UZ18zxh,2021-01-29,0.663,0.786,-5.325,0.0353,0.212,0.0957,0.319,145.977,-38.5216033385453
450,worldstar money (interlude),Joji,0baNzeUcPQnQSagpe8T0mD,2018-02-14,0.577,0.387,-8.607,0.274,0.964,0.208,0.459,146.565,-39.0623264085015
451,Dear August,PJ Harding,16gW9O8A4rIMx5OOVlzsSn,2021-02-12,0.643,0.324,-7.817,0.0338,0.8,0.111,0.444,147.019,-39.50109752307109
452,Caroline,Briston Maroney,3S5mohVxC0Xuj0tgZ7vU7g,2019-05-17,0.506,0.456,-10.635,0.0479,0.726,0.11,0.406,149.6,-42.18828659578098
453,In My Room,Frank Ocean,4S4Mfvv03M1cHgIOJcbUCL,2019-11-02,0.861,0.647,-7.425,0.0675,0.594,0.114,0.67,158.037,-50.516861333269425
454,It's Getting Bad Again,Ethan Jewell,2wm19d0EnlhK2FNtm1YhMM,2020-12-18,0.52,0.354,-18.189,0.425,0.901,0.136,0.244,158.146,-51.70689676443983
455,Feeling Whitney,Gerhard,7aCorEJwtH7CwG723kd6xF,2021-02-14,0.425,0.29,-8.266,0.0316,0.773,0.126,0.224,160.061,-52.547140340090216
456,Fix It to Break It,Clinton Kane,1uviKYHZuM4uINK33F7sCt,2020-03-27,0.493,0.461,-8.524,0.0456,0.845,0.115,0.35,51.414,-54.119227927260695
457,Kilby Girl,The Backseat Lovers,1170VohRSx6GwE6QDCHPPH,2019-01-27,0.329,0.444,-9.973,0.0417,0.0578,0.113,0.225,162.279,-54.8105799494837
458,"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,6u3CPnFMKANYgfdiifFOiJ,2021-01-29,0.539,0.615,-8.746,0.252,0.173,0.144,0.493,163.924,-56.41463352032575
459,My Tears Are Becoming A Sea,M83,1Fwj0wThn3kTg8D7KgWdsU,2011,0.194,0.376,-11.356,0.0463,0.11,0.593,0.0723,48.637,-57.0132903262116
460,Deep End,Birdy,4c9UU12Z3KZiC0K7696rup,2016-03-25,0.455,0.296,-8.513,0.0399,0.761,0.0783,0.31,171.744,-64.23125131399303
461,affection,BETWEEN FRIENDS,2lTtnKQgjbrBA1qnOFhBkP,2018-04-05,0.273,0.565,-7.283,0.248,0.516,0.0855,0.298,179.518,-71.99891960465794
462,deja vu,Olivia Rodrigo,61KpQadow081I2AsbeLcsb,2021-04-01,0.439,0.61,-7.236,0.116,0.593,0.341,0.172,181.088,-73.56887478937381
463,"Brown Eyes, Brown Hair",Caleb Hearn,3hy770zkWLyGaLNKr1qaUw,2021-02-28,0.393,0.488,-10.83,0.0356,0.157,0.153,0.311,183.996,-76.5428367484277
464,Lady by the Sea,Stephen Sanchez,4wPKUEm0EOoyUiFtI6mz1a,2020-12-18,0.439,0.503,-10.029,0.0281,0.284,0.152,0.519,186.01,-78.52598933656412
465,Bubble Gum,Clairo,3zksbXteOCeSusJ5Xltr3t,2019-02-22,0.509,0.0167,-24.639,0.115,0.979,0.387,0.229,207.97,-101.87490816876246
466,Hell N Back,Bakar,3NRql0A1Ef4RCvT473iqgD,2019-08-15,0.584,0.684,-4.314,0.567,0.312,0.112,0.72,210.164,-102.6955648689244
467,Monica Lewinsky (feat. A Boogie Wit da Hoodie),SAINt JHN,4hTErxf8ZqFNGH0hZqEoAI,2019-08-23,0.828,0.521,-5.583,0.137,0.858,0.13,0.369,106.009,-1.1495350318881283
468,Who Needs Love,Trippie Redd,2ktxr00GpTtbMNeBjNeY8D,2019-11-22,0.85,0.516,-7.664,0.0714,0.763,0.0896,0.874,108.963,-1.5194670518413456
469,"By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) - Remix",Ty Dolla $ign,7ynCvGoSYmyMyEh3F9p0mX,2021-03-19,0.753,0.524,-6.291,0.0461,0.055,0.188,0.199,103.965,-1.8929990783471884
470,Love Is a Drug,Papithbk,0vQM29chWYNTrqPoirulxI,2018-10-24,0.841,0.406,-12.389,0.358,0.791,0.0872,0.384,110.061,-4.994503387046713
471,Sunrise,Ali Gatie,1qFDKgzTadZib0PgQqL9CM,2021-03-26,0.684,0.495,-8.282,0.0297,0.223,0.154,0.19,99.991,-5.5750387511645165
472,Enough,Lil Mosey,5ozKTgHJvWkC4lRh9g4Wa4,2021-02-12,0.739,0.338,-11.224,0.0412,0.598,0.105,0.401,100.996,-5.62357593368678
473,i n t e r l u d e,J. Cole,2gyYjQWXKxemhAyMPgctIx,2021-05-07,0.604,0.668,-3.525,0.115,0.11,0.407,0.114,100.854,-5.994120838912994
474,cheers (with Wiz Khalifa),blackbear,41uMT21Z2Sts6UNsz19ZH5,2020-12-25,0.795,0.642,-4.431,0.0288,0.0509,0.17,0.669,97.999,-8.096270277455302
475,Kill Cupid,Dro Kenji,5p29DSBwxS4hStGKr7NCCO,2021-02-26,0.77,0.58,-6.371,0.0461,0.0136,0.111,0.202,115.98,-8.545565875112615
476,Losin Control,Russ,4cxMGhkinTocPSVVKWIw0d,2017-05-05,0.759,0.245,-6.545,0.138,0.515,0.102,0.209,96.992,-8.596841808080184
477,WHEN THE DEVIL CRIES,347aidan,2oeMjGwvO0mDjEYGxO1iLG,2021-03-19,0.826,0.448,-4.997,0.0342,0.447,0.087,0.42,116.472,-9.28402663752457
478,Stars In The Sky (feat. Jhené Aiko),Phora,4gKCKkQbtejYebL9Km5cu1,2020-10-09,0.636,0.418,-10.536,0.0316,0.503,0.113,0.347,96.132,-9.803391589742409
479,Need Somebody,PnB Rock,394yrCYgwPX9m9V0sqUIbN,2021-04-30,0.684,0.535,-7.24,0.317,0.0741,0.223,0.304,94.691,-10.843044951452063
480,Better Off Dead,jxdn,4ih3Y0t86lfK8m8pTgEx4I,2020-12-18,0.684,0.672,-5.762,0.0341,0.151,0.116,0.381,93.965,-11.69211532705699
481,7 Years (Remix),Sik World,1kFlDnWmBTvCBxxeGDpIdp,2016-06-04,0.811,0.609,-8.376,0.0996,0.227,0.102,0.439,120.071,-12.573327737637413
482,Be Alone,Blxst,7tjtWVu8RsshzPxQm8oT3y,2020-09-04,0.606,0.617,-5.123,0.427,0.83,0.166,0.685,93.169,-12.59648434814371
483,DITTO,Aries,30AnNG3dFbHLQuSbIVWEbF,2021-02-26,0.645,0.579,-9.137,0.1,0.524,0.161,0.525,92.977,-12.635630297911208
484,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",The Kid LAROI,0DYNL4xbYWgNzppUamtyR4,2020-11-06,0.721,0.632,-6.695,0.0358,0.0693,0.291,0.296,92.057,-13.496952999431084
485,Romeo & Juliet,Trippie Redd,6jT3etAOkvMUw0zsEw5QnR,2017-05-14,0.609,0.37,-13.933,0.0712,0.664,0.328,0.352,119.806,-13.727905685375477
486,Excitement (feat. PARTYNEXTDOOR),Trippie Redd,7FullO2NDkyvxLuxYVKINa,2020-10-30,0.443,0.536,-8.187,0.0378,0.0194,0.1,0.0391,121.967,-14.468514634524968
487,Atmosphere,Marc E. Bassy,3JNI7b74uiRAm3WUYUa67A,2021-04-30,0.78,0.347,-10.807,0.0767,0.152,0.0586,0.211,121.751,-14.569772785474976
488,Drama (feat. Drake),Roy Woods,0PXp9QxBfSKGGpWUNaws2X,2015-07-31,0.709,0.362,-9.814,0.055,0.157,0.109,0.113,122.043,-14.6855088532478
489,Patience (feat. YUNGBLUD & Polo G),KSI,5J5CpT6bgE6KYKk23jgp9W,2021-03-12,0.616,0.741,-4.272,0.0426,0.00251,0.307,0.431,122.012,-14.847052709589015
490,Summertime In Paris,Jaden,6XNANAB7sFvkfho6bMCp7o,2019-07-05,0.569,0.86,-4.116,0.043,0.135,0.153,0.289,90.937,-14.974430438964482
491,1 SIDED LOVE,blackbear,39bs2V8huzcmWoeSlHKZeP,2019-04-26,0.584,0.42,-7.827,0.0322,0.236,0.119,0.283,90.051,-15.474943712599337
492,nothinglastsforever,TOKYO’S REVENGE,2RunxngjOjMmQmk4AeLJMh,2020-11-27,0.649,0.41,-8.817,0.0329,0.802,0.706,0.454,123.824,-16.360976248106432
493,September 16,Russ,7a5RvlW5tMU0AZ4tvbGLhn,2018-07-20,0.679,0.376,-12.39,0.395,0.947,0.115,0.321,123.352,-16.517783726982014
494,Let Me Know (I Wonder Why Freestyle),Juice WRLD,3wwo0bJvDSorOpNfzEkfXx,2019-12-07,0.635,0.537,-7.895,0.0832,0.172,0.418,0.383,125.028,-17.511194993876465
495,Company (feat. Future),24kGoldn,3JVTsvTldB6arHVlmxmTnM,2021-03-26,0.831,0.727,-3.657,0.169,0.447,0.111,0.703,125.068,-17.962202367481325
496,Night & Day,Kid Ink,5gVHN44I2vrBWeJcVqlCCU,2021-04-09,0.87,0.513,-9.187,0.0495,0.198,0.13,0.844,125.986,-18.533813192086097
497,They Ain't You,Tyla Yaweh,3tfxO1TvXXQ7HymM15lGt1,2019-02-22,0.445,0.606,-6.279,0.0778,0.82,0.117,0.375,86.712,-18.862511156782624
498,Move On - Bonus,Lil Tjay,05WIYJYtnZHUmL1uuYmvY1,2021-04-02,0.31,0.722,-5.348,0.0813,0.287,0.345,0.349,86.693,-18.96203521235539
499,Lowkey,Ollie,04upOOfD7Ma3nCUbXAbcWR,2021-02-12,0.839,0.59,-4.76,0.137,0.0441,0.233,0.387,86.473,-19.250343796639946
500,i don't want another sorry,Dax,1AZkaqWjrlH9TjF2HQE4ZS,2020-12-30,0.644,0.614,-6.974,0.0488,0.0498,0.117,0.257,85.013,-20.521140131315466
501,in & out,mike.,2Scr0y3esb358gdEJoGLiK,2021-02-12,0.531,0.573,-7.677,0.269,0.278,0.196,0.524,83.489,-22.03522666641928
502,Love Me More,Trippie Redd,6uYgCE2OEulOw5zhHvZsHf,2019-11-22,0.638,0.539,-5.853,0.0504,0.22,0.241,0.247,83.381,-22.20765958862112
503,What You Need,Don Toliver,6LcX2hBbXaJcK4AuefE936,2021-05-04,0.664,0.655,-7.327,0.0461,0.059,0.17,0.13,129.987,-22.471135922645818
504,bad vibes forever,XXXTENTACION,03eJ2DclFWXYU8GWgANdmZ,2019-12-06,0.8,0.526,-5.153,0.0716,0.334,0.0571,0.746,129.874,-22.48060991880998
505,Sex Sounds,Lil Tjay,5JtvedSVWW9McnoEAPJwQm,2019-10-11,0.857,0.427,-8.638,0.112,0.281,0.108,0.366,130.033,-22.53535681346925
506,Drowning,Sik World,4AZLcT3i18w607Z4f4wZMz,2021-01-27,0.817,0.64,-8.81,0.0896,0.0985,0.103,0.226,130.11,-22.62278813868749
507,Never Left,Lil Tecca,21UkXrc9kD48rNpTMI2ecz,2021-05-06,0.807,0.659,-6.92,0.332,0.0224,0.309,0.438,82.465,-23.070794948412413
508,Mercury,Dave,1w6Gcw670LjrAnrbAWObqT,2021-04-10,0.773,0.717,-7.436,0.418,0.117,0.126,0.147,81.782,-23.747391246458992
509,Hate The Way (feat. blackbear),G-Eazy,3QGppKBPd9gHOgHJzRbVIw,2020-10-16,0.569,0.865,-3.844,0.266,0.0673,0.312,0.361,82.011,-23.80150776924084
510,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2eAZfqOm4EnOF9VvN50Tyc,2017-08-25,0.703,0.757,-3.612,0.05,0.617,0.106,0.696,82.008,-23.83881894666722
511,Bad Boy (with Young Thug),Juice WRLD,43CIWpJaJHRcI4mUSjqgc2,2021-01-15,0.697,0.674,-6.326,0.0533,0.00215,0.138,0.198,81.535,-24.02313301363389
512,RAPSTAR,Polo G,43PGPuHIlVOc04jrZVh9L6,2021-04-09,0.789,0.536,-6.862,0.242,0.41,0.129,0.437,81.039,-24.494479274331425
513,Too Many Problems (feat. Powfu),Ouse,4NY3dbgimhDmj4tFt4tIzS,2021-03-26,0.727,0.439,-7.398,0.0542,0.427,0.112,0.362,81.008,-24.515396123151145
514,Taking A Walk,Trippie Redd,4mHgYpuGHu99Mw69E83CP2,2018-08-10,0.767,0.538,-6.044,0.052,0.68,0.192,0.343,81.031,-24.54091105715132
515,I Wish,Luh Kel,7i8QdVs5sQbjaMedAEttjj,2021-02-12,0.764,0.718,-5.03,0.0379,0.171,0.076,0.929,131.966,-24.577850342421627
516,Sisyphus,Quadeca,3Fck3nrjmTedqrT9GTTehP,2021-03-30,0.361,0.542,-10.4,0.0468,0.2,0.697,0.201,132.729,-25.36680200201223
517,You (with Marshmello & Vance Joy) - Acoustic,benny blanco,2wcseriGAqeodDazDXgmaq,2021-03-02,0.579,0.299,-8.104,0.0661,0.855,0.133,0.315,133.037,-25.527250084909213
518,FOOL'S GOLD,Aries,1ryUAnJ3gPNtw85hwiVA7Z,2020-11-06,0.662,0.525,-8.546,0.0341,0.281,0.199,0.577,133.937,-26.432005495685427
519,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2IePEfMAtqWS6rLXXFZIgI,2021-05-13,0.792,0.707,-5.218,0.0623,0.116,0.12,0.408,134.997,-27.57524230923191
520,Unlearn (with Gracie Abrams),benny blanco,6GH4tLwGW6HliKbZBdt6hD,2021-03-24,0.429,0.214,-12.261,0.242,0.897,0.105,0.189,77.849,-28.06213834640035
521,No Heart,YNW Melly,0rhxoXFMKRtm1dQJfi72Yh,2019-01-18,0.76,0.568,-3.92,0.0558,0.505,0.107,0.414,77.482,-28.27174178065453
522,NOT FAIR (feat. Corbin),The Kid LAROI,2HrMDMckfCyM4OcZxXuiRn,2020-07-24,0.412,0.657,-5.535,0.124,0.468,0.318,0.625,76.342,-29.2530233810328
523,Real Shit (with benny blanco),Juice WRLD,3uVPLtkmDu8pDkYEAVqbgS,2020-12-02,0.703,0.703,-4.672,0.133,0.605,0.12,0.697,76.017,-29.647201617918018
524,None of Your Love - Bonus,Lil Tjay,3pGRj6u9DCE9PQips45eJ1,2021-04-02,0.702,0.722,-5.921,0.161,0.0199,0.299,0.51,137.963,-30.487841690857692
525,lie to me,Ali Gatie,4NUgJ9gYHuAhaT3bj9ONh3,2021-03-26,0.639,0.404,-7.68,0.037,0.0166,0.343,0.045,138.054,-30.537194898438802
526,Questions (feat. Future),Nebu Kiniza,4EtMpvyRyklyTqyL3Xrm8K,2021-04-16,0.776,0.609,-5.631,0.0375,0.301,0.077,0.375,138.047,-30.586342155864084
527,Richer (feat. Polo G),Rod Wave,7HsjuVBM93Z2RoxjpWLgTT,2021-03-26,0.726,0.411,-12.929,0.0671,0.438,0.087,0.734,137.905,-30.835642241225763
528,Reckless,Lund,1CIxzzS0nVJNfk5wuN2MjM,2021-02-19,0.461,0.467,-7.628,0.0586,0.00766,0.11,0.167,74.686,-30.84018260268298
529,Henny & Reefer,Chillinit,3Zirj6WGSD0qom7dfswY2K,2021-04-13,0.903,0.594,-6.209,0.372,0.386,0.104,0.819,140.045,-32.55539685471342
530,Chasing_(Demo),NF,4f80SteKqaB6M2JytEUrwT,2020-10-12,0.498,0.0942,-18.713,0.126,0.952,0.13,0.299,139.218,-33.54625798035601
531,Let Her Go,The Kid LAROI,0c6SqvH32BMgbEFvpHc2gs,2019-12-06,0.763,0.542,-6.753,0.148,0.639,0.113,0.504,142.031,-34.520615851661624
532,Seasons (feat. Khalid),6LACK,1AROE0XcC4ySCxXF65mutZ,2018-09-14,0.6,0.319,-10.272,0.294,0.692,0.137,0.507,141.96,-34.54298514032435
533,SO DONE,The Kid LAROI,5psEZhQu6lukjhavJo4AbC,2020-10-23,0.719,0.598,-6.254,0.077,0.232,0.115,0.303,142.592,-35.09544405940058
534,Righteous,Juice WRLD,5dOxHHMOFAbG3VH23t0xNm,2020-07-10,0.706,0.625,-7.426,0.0314,0.0417,0.129,0.225,142.948,-35.42856814005891
535,Life's A Mess (feat. Halsey),Juice WRLD,5wWAwzGp2OaaoIkwcz6wZs,2020-07-10,0.63,0.446,-8.9,0.0351,0.337,0.166,0.177,143.078,-35.58096049919024
536,Feen,Luh Kel,2qTcJF53V5rsJd82CVFadL,2020-11-20,0.644,0.71,-4.078,0.04,0.312,0.101,0.229,143.061,-35.708971292114896
537,About You,Sik World,3t9nJ079F1nheAdUqijyWe,2021-03-31,0.729,0.441,-9.088,0.135,0.0886,0.172,0.186,143.935,-36.44499147921005
538,Buck 50,DJ Scheme,7nD5MiXspW533xaREDma2N,2021-01-22,0.656,0.537,-6.687,0.0706,0.0309,0.104,0.15,144.04,-36.53151036481895
539,SMALL TALK,Russ,4RQvgOmRgrrfrkCqAvy9TE,2021-05-07,0.794,0.649,-4.294,0.348,0.0584,0.314,0.611,144.343,-36.967069831849216
540,Diva (feat. Lil Tecca),The Kid LAROI,7gVwgc8b3XnO87TpmXXFA5,2020-01-31,0.686,0.703,-6.141,0.0606,0.00728,0.0946,0.457,144.902,-37.40920161989776
541,Heart Mind,Kodak Black,2OPxM2L3KtuehqY24vTMGs,2017-10-31,0.921,0.641,-6.491,0.166,0.0274,0.0645,0.828,144.986,-37.483383460378235
542,Do You Believe,Ali Gatie,71TRhiwsRckqoqO9CcDIE6,2021-03-26,0.665,0.707,-5.144,0.03,0.193,0.219,0.391,144.952,-37.508656144733436
543,Mirrors on the Ceiling,mike.,4s5kD9Pdiy8iVmJ7TKRRy2,2018-11-12,0.735,0.334,-11.59,0.191,0.447,0.0956,0.594,148.09,-40.76112810144521
544,TELL ME WHY,The Kid LAROI,3jlxX3VXPiY3lvBBbppQD3,2020-07-24,0.6,0.723,-4.928,0.158,0.109,0.167,0.463,149.881,-42.44196123152487
545,Glass House (feat. Naomi Wild),Machine Gun Kelly,0YP8kt3sAYTj6eEyesreQH,2019-07-05,0.68,0.586,-7.01,0.0567,0.0174,0.128,0.196,149.968,-42.45194524500039
546,Wrinkled Sheets,Skizzy Mars,39r0PmGIxj5W40tVmOoTx1,2021-04-23,0.816,0.675,-6.245,0.261,0.2,0.32,0.779,151.884,-44.384178770903354
547,Tweakin,Luh Kel,4MAHqzuljxMPl1ibUrC57Y,2019-11-15,0.694,0.851,-4.966,0.068,0.0645,0.116,0.424,153.947,-46.49957156738693
548,FEEL SOMETHING (feat. Marshmello),The Kid LAROI,1yP6g2Ka4CisR3i2cuIcjK,2020-11-06,0.523,0.609,-7.802,0.191,0.059,0.14,0.374,154.051,-46.53106476906771
549,Just My Luck,Marc E. Bassy,2QsBAfiNmngcrZsOTznqBG,2019-09-27,0.617,0.64,-5.601,0.042,0.283,0.164,0.346,156.98,-49.497667399131586
550,Heart On Ice,Rod Wave,6fWa5CRgy0z30OeGZyMBvD,2019-06-14,0.733,0.389,-8.468,0.0738,0.0513,0.141,0.244,157.878,-50.36484679587506
551,shots in the dark (with Trippie Redd),iann dior,03m2VS3eYqKwbHvEykTYl5,2021-04-16,0.58,0.651,-5.537,0.0459,0.0275,0.102,0.562,157.888,-50.408300797938374
552,Street Runner,Rod Wave,45kgqMRkC29qjBlzeaJcad,2021-03-10,0.613,0.61,-8.633,0.246,0.211,0.152,0.433,160.004,-52.49293042540589
553,All Girls Are The Same,Juice WRLD,4VXIryQMWpIdGgYR4TrjT1,2018-12-10,0.671,0.529,-7.226,0.307,0.0769,0.0856,0.203,161.989,-54.47008215159335
554,Rodman,mike.,5kI11Df3ZSxlNyViaQeqmh,2020-10-30,0.64,0.787,-5.883,0.0425,0.0828,0.104,0.186,162.976,-55.48190224152968
555,STATUS,Russ,6GeknxD68osCT7BusMmzVF,2021-05-14,0.813,0.56,-10.354,0.09,0.422,0.0758,0.715,163.966,-56.51133248608763
556,But Cha (feat. Josh Golden),KYLE,0yKBinwqV7fh1wokWh9ib7,2021-02-26,0.427,0.694,-4.981,0.0645,0.325,0.114,0.585,171.129,-63.66072180032721
557,no sense,Baby Keem,0TSyYtpSnQrLqsnbSTALTP,2021-03-05,0.783,0.485,-11.262,0.521,0.419,0.182,0.858,179.948,-72.52039775709403
558,We Don’t Talk Enough (with Alexander 23),Quinn XCII,4IaizE26moyyMYn70TeFiX,2021-03-05,0.586,0.185,-14.343,0.0651,0.76,0.107,0.505,186.247,-79.01261319646619
559,Pretty Little Fears (feat. J. Cole),6LACK,4at3d5QWnlibMVN75ECDrp,2018-09-14,0.61,0.458,-11.336,0.36,0.696,0.0852,0.246,192.099,-84.66090231229943
560,Slumber Party (feat. Princess Nokia),Ashnikko,11ZulcYY4lowvcQm4oe3VJ,2021-01-15,0.964,0.398,-8.981,0.0795,0.00151,0.101,0.563,105.012,-1.0958835593838918
561,Young And Menace,Fall Out Boy,6XEPmHllDGDaO4w84Xjtgi,2018-01-19,0.646,0.833,-5.134,0.057,0.112,0.121,0.278,108.003,-1.9031388677284582
562,Voices,Against The Current,7JzWz4mgrthdmX52b0Z7mz,2018-09-28,0.715,0.851,-4.782,0.0615,0.0036,0.0738,0.789,105.02,-2.234672068095311
563,Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,14ny3vlL25p6Vix2Sb8k1b,2018-08-24,0.795,0.597,-6.395,0.0327,0.106,0.113,0.849,110.014,-2.716908847862054
564,Super Psycho Love,Simon Curtis,50fBaxpXWE8Ul4yjo0Q5O2,2016-01-08,0.731,0.819,-5.978,0.0485,0.00889,0.0832,0.789,109.998,-2.8703591021422694
565,The Wellerman,Caleb Hyles,7LbAqsgXLBdzXmMEXgCfxc,2021-01-30,0.668,0.705,-5.905,0.0403,0.361,0.399,0.454,110.088,-2.956534004822475
566,La La Lainey,Forever The Sickest Kids,0HjPEb23QO6cGqYfdQVd3K,2013-01-01,0.561,0.975,-5.345,0.0506,0.0602,0.265,0.777,102.027,-4.065536676297765
567,Sinner,Andy Grammer,4yLoZbvsw3UXMgOgylYgQn,2014-08-05,0.636,0.787,-6.584,0.0306,0.00319,0.163,0.351,111.983,-4.571495919942351
568,Your New Boyfriend,Wilbur Soot,4vLBnQtece15fFhqWxZvJP,2020-12-11,0.546,0.453,-13.04,0.121,0.382,0.106,0.74,104.532,-4.813230596261869
569,Outrunning Karma,Alec Benjamin,2W0AJEbIC2vdZTV2nVSAsg,2018-11-16,0.416,0.649,-5.271,0.0385,0.655,0.12,0.474,112.482,-5.413741973241162
570,I Built A Friend (2020),Alec Benjamin,68XhCrBajUR64h6wv4eYYW,2020-07-23,0.6,0.282,-8.284,0.0302,0.883,0.163,0.424,100.035,-5.554010150229764
571,Pit Of Vipers,Simon Curtis,0G37ZYFgookTlLOjBrLSHd,2011-06-07,0.731,0.629,-6.859,0.034,0.282,0.315,0.345,99.999,-5.568201870018588
572,Killer,The Ready Set,2LYAG9jlH9rul11nalRxR0,2011-10-07,0.644,0.84,-6.347,0.0511,0.153,0.294,0.935,99.936,-5.729817401038201
573,Losing My Mind,Mystery Skulls,1DXXWu8Del2WXqBsuB4TcL,2017-08-04,0.474,0.759,-3.974,0.0891,0.0207,0.157,0.458,112.216,-5.7607766516071095
